fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7
7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,7
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6
8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5
6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6
9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,6
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,7
6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,6
8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,6
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,5
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,6
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5
7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,6
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5
6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5
7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6
8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5
7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,6
7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,6
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6
